iter	Passed	Remaining
455	955	1140
456	957	1137
457	958	1134
458	961	1133
459	963	1130
460	964	1128
461	966	1125
462	968	1123
463	970	1121
464	972	1119
465	974	1116
466	976	1114
467	977	1111
468	979	1109
469	981	1106
470	983	1104
471	985	1102
472	987	1100
473	989	1097
474	990	1094
475	993	1093
476	994	1090
477	996	1088
478	997	1085
479	999	1083
480	1001	1080
481	1003	1078
482	1004	1075
483	1006	1073
484	1008	1070
485	1009	1067
486	1011	1065
487	1013	1063
488	1014	1060
489	1016	1057
490	1018	1056
491	1020	1053
492	1022	1051
493	1024	1048
494	1026	1046
495	1028	1044
496	1029	1042
497	1031	1040
498	1033	1037
499	1035	1035
500	1037	1033
501	1039	1031
502	1041	1029
503	1043	1026
504	1045	1024
505	1047	1022
506	1049	1020
507	1051	1017
508	1052	1015
509	1054	1012
510	1056	1010
511	1058	1008
512	1060	1006
513	1061	1003
514	1063	1001
515	1065	999
516	1067	997
517	1068	994
518	1070	991
519	1071	989
520	1073	987
521	1075	984
522	1077	982
523	1078	980
524	1080	977
525	1081	974
526	1083	972
527	1085	969
528	1086	967
529	1088	965
530	1089	962
531	1091	960
532	1093	957
533	1094	955
534	1096	953
535	1098	950
536	1100	948
537	1101	946
538	1103	943
539	1105	941
540	1106	939
541	1108	936
542	1110	934
543	1112	932
544	1114	930
545	1116	928
546	1117	925
547	1119	923
548	1121	921
549	1123	918
550	1125	916
551	1126	914
552	1128	912
553	1130	909
554	1131	907
555	1132	904
556	1134	902
557	1136	900
558	1138	898
559	1139	895
560	1141	893
561	1143	891
562	1145	889
563	1147	887
564	1149	884
565	1151	882
566	1152	880
567	1154	878
568	1156	875
569	1157	873
570	1159	871
571	1161	869
572	1163	867
573	1164	864
574	1167	862
575	1169	860
576	1170	858
577	1172	856
578	1174	854
579	1176	851
580	1178	849
581	1180	847
582	1182	845
583	1184	843
584	1186	841
585	1188	839
586	1189	837
587	1191	835
588	1193	833
589	1195	830
590	1197	828
591	1199	826
592	1201	824
593	1203	822
594	1205	820
595	1208	819
596	1210	817
597	1212	815
598	1214	812
599	1216	810
600	1218	808
601	1219	806
602	1221	804
603	1223	802
604	1225	800
605	1227	798
606	1229	796
607	1231	794
608	1233	791
609	1235	789
610	1237	787
611	1239	785
612	1240	783
613	1242	781
614	1244	778
615	1245	776
616	1248	774
617	1250	772
618	1251	770
619	1254	768
620	1256	766
621	1257	764
622	1259	762
623	1262	760
624	1263	758
625	1265	756
626	1267	753
627	1269	751
628	1271	749
629	1273	747
630	1276	746
631	1278	744
632	1280	742
633	1282	740
634	1284	738
635	1286	736
636	1288	734
637	1290	732
638	1293	730
639	1294	728
640	1296	726
641	1298	724
642	1300	721
643	1301	719
644	1303	717
645	1305	715
646	1306	712
647	1308	710
648	1310	708
649	1311	706
650	1313	704
651	1314	701
652	1316	699
653	1318	697
654	1319	695
655	1321	693
656	1323	690
657	1325	688
658	1326	686
659	1328	684
660	1330	682
661	1331	679
662	1333	677
663	1335	675
664	1337	673
665	1338	671
666	1340	669
667	1342	667
668	1343	664
669	1345	662
670	1347	660
671	1349	658
672	1351	656
673	1352	654
674	1354	652
675	1356	650
676	1357	647
677	1359	645
678	1361	643
679	1362	641
680	1364	639
681	1366	637
682	1368	634
683	1369	632
684	1371	630
685	1372	628
686	1374	626
687	1375	623
688	1377	621
689	1380	620
690	1381	617
691	1383	615
692	1385	613
693	1386	611
694	1388	609
695	1390	607
696	1391	605
697	1393	603
698	1395	600
699	1396	598
700	1399	596
701	1401	594
702	1402	592
703	1405	590
704	1407	588
705	1408	586
