iter	Passed	Remaining
465	726	832
466	727	830
467	728	828
468	729	825
469	730	823
470	731	821
471	732	819
472	733	817
473	734	815
474	735	813
475	736	810
476	737	808
477	738	806
478	740	804
479	741	802
480	742	800
481	743	798
482	744	796
483	745	794
484	746	792
485	748	791
486	749	789
487	750	787
488	751	785
489	752	783
490	753	781
491	754	779
492	755	777
493	757	775
494	758	773
495	759	772
496	760	770
497	761	768
498	763	766
499	764	764
500	765	762
501	766	760
502	767	758
503	768	756
504	769	754
505	771	752
506	772	750
507	773	748
508	774	746
509	775	744
510	776	743
511	777	741
512	779	739
513	780	737
514	781	735
515	782	733
516	783	732
517	785	730
518	786	728
519	786	726
520	787	724
521	789	722
522	790	721
523	791	719
524	792	717
525	794	715
526	795	714
527	796	712
528	798	710
529	799	708
530	801	707
531	802	705
532	803	704
533	805	703
534	807	701
535	808	699
536	809	698
537	810	696
538	811	694
539	813	692
540	814	690
541	815	689
542	816	687
543	818	685
544	819	684
545	820	682
546	821	680
547	822	678
548	823	676
549	825	675
550	827	674
551	828	672
552	829	670
553	831	669
554	832	667
555	834	666
556	835	664
557	836	662
558	837	660
559	838	659
560	840	657
561	841	655
562	842	653
563	843	651
564	844	649
565	845	648
566	846	646
567	847	644
568	848	642
569	849	640
570	850	638
571	851	637
572	852	635
573	854	633
574	855	631
575	857	630
576	858	629
577	859	627
578	860	625
579	861	623
580	862	621
581	863	620
582	864	618
583	865	616
584	866	614
585	867	613
586	869	611
587	870	610
588	872	608
589	873	606
590	874	605
591	875	603
592	876	601
593	877	599
594	878	598
595	880	596
596	881	594
597	882	593
598	883	591
599	884	589
600	885	588
601	886	586
602	887	584
603	889	582
604	890	581
605	891	579
606	892	577
607	893	576
608	898	576
609	899	574
610	900	573
611	902	572
612	903	570
613	904	568
614	905	567
615	907	565
616	908	564
617	910	562
618	912	561
619	913	560
620	914	558
621	915	556
622	917	554
623	918	553
624	919	551
625	921	550
626	922	548
627	924	547
628	925	545
629	927	544
630	928	542
631	929	541
632	931	539
633	933	538
634	934	537
635	936	535
636	937	534
637	938	532
638	940	531
639	941	529
640	942	527
641	943	526
642	945	524
643	946	523
644	947	521
645	948	519
646	949	518
647	951	516
648	952	515
649	953	513
650	954	511
651	956	510
652	957	508
653	958	507
654	959	505
655	961	503
656	962	502
657	963	500
658	965	499
659	966	498
660	968	496
661	970	495
662	971	493
663	973	492
664	974	490
665	976	489
666	978	488
667	979	486
668	981	485
669	983	484
670	984	482
671	986	481
672	988	480
673	990	478
674	991	477
675	993	476
676	994	474
677	996	473
678	997	471
679	998	469
680	999	468
681	1001	466
682	1002	465
683	1003	463
684	1004	462
685	1006	460
686	1007	458
687	1008	457
688	1009	455
689	1010	454
690	1012	452
691	1013	450
692	1014	449
693	1015	447
694	1016	446
695	1017	444
696	1018	442
697	1020	441
698	1021	439
699	1022	438
700	1023	436
701	1024	434
702	1025	433
703	1026	431
704	1027	430
705	1029	428
706	1030	427
707	1031	425
708	1032	423
709	1034	422
710	1034	420
711	1036	419
712	1037	417
713	1038	416
714	1040	414
715	1041	413
716	1043	411
717	1044	410
718	1045	408
719	1047	407
720	1049	405
721	1050	404
722	1051	402
723	1053	401
724	1054	400
725	1056	398
726	1057	397
727	1058	395
728	1059	393
729	1061	392
730	1062	391
731	1064	389
732	1065	388
733	1066	386
734	1068	385
735	1069	383
736	1071	382
737	1072	380
738	1074	379
739	1075	377
740	1077	376
741	1078	375
742	1080	373
743	1081	372
744	1083	370
745	1085	369
746	1086	368
747	1088	366
748	1089	365
749	1090	363
750	1092	362
751	1093	360
752	1095	359
753	1096	357
754	1097	356
755	1098	354
756	1100	353
757	1101	351
758	1104	350
759	1106	349
760	1107	347
761	1108	346
762	1109	344
763	1111	343
764	1112	341
765	1113	340
766	1114	338
767	1115	336
768	1116	335
769	1117	333
770	1118	332
771	1120	330
772	1121	329
773	1122	327
774	1123	326
775	1124	324
776	1125	323
777	1126	321
778	1127	319
779	1128	318
780	1130	316
781	1131	315
782	1132	313
783	1133	312
784	1134	310
785	1135	309
786	1137	307
787	1138	306
788	1139	304
789	1140	303
790	1141	301
791	1142	300
792	1143	298
793	1144	297
794	1145	295
795	1146	293
796	1148	292
797	1149	290
798	1150	289
799	1151	287
800	1152	286
801	1153	284
802	1154	283
803	1155	281
804	1156	280
805	1157	278
806	1158	277
807	1159	275
808	1161	274
809	1162	272
810	1163	271
811	1164	269
812	1166	268
813	1167	266
814	1168	265
815	1169	263
816	1170	262
817	1171	260
818	1173	259
819	1174	257
820	1175	256
821	1176	254
822	1177	253
823	1178	251
824	1179	250
825	1180	248
826	1181	247
827	1182	245
828	1183	244
829	1184	242
830	1186	241
831	1187	239
832	1188	238
833	1189	236
834	1189	235
835	1190	233
836	1192	232
837	1193	230
838	1194	229
839	1195	227
840	1196	226
841	1197	224
842	1198	223
843	1199	221
844	1200	220
845	1200	218
846	1201	217
847	1202	215
848	1203	214
849	1204	212
850	1205	211
851	1206	209
852	1207	208
853	1208	206
854	1208	204
855	1209	203
856	1211	202
857	1212	200
858	1213	199
859	1213	197
860	1214	196
861	1215	194
862	1216	193
863	1217	191
864	1218	190
865	1219	188
866	1220	187
867	1221	185
868	1221	184
869	1222	182
870	1223	181
871	1225	179
872	1225	178
873	1226	176
874	1227	175
875	1228	173
876	1229	172
877	1230	171
878	1231	169
879	1232	168
880	1233	166
881	1234	165
882	1235	163
883	1236	162
884	1237	160
885	1238	159
886	1239	157
887	1240	156
888	1241	154
889	1242	153
890	1243	152
891	1244	150
892	1245	149
893	1246	147
894	1247	146
895	1248	144
896	1249	143
897	1250	142
898	1251	140
899	1252	139
900	1252	137
901	1254	136
902	1255	134
903	1256	133
904	1257	132
905	1258	130
906	1259	129
907	1260	127
908	1262	126
909	1263	124
910	1264	123
911	1265	122
912	1266	120
913	1267	119
914	1268	117
915	1269	116
916	1270	115
917	1271	113
918	1272	112
919	1273	110
920	1274	109
921	1275	107
922	1276	106
923	1277	105
924	1278	103
925	1280	102
926	1281	100
927	1282	99
928	1283	98
929	1284	96
930	1285	95
931	1287	93
932	1288	92
933	1289	91
934	1290	89
935	1291	88
936	1292	86
937	1293	85
938	1294	84
939	1295	82
940	1296	81
941	1297	79
942	1298	78
943	1299	77
944	1299	75
945	1300	74
946	1301	72
947	1302	71
948	1303	70
949	1304	68
950	1305	67
951	1306	65
952	1306	64
953	1307	63
954	1308	61
955	1309	60
956	1310	58
957	1311	57
958	1312	56
959	1313	54
960	1314	53
961	1315	51
962	1316	50
963	1317	49
964	1318	47
965	1319	46
966	1320	45
967	1321	43
968	1322	42
969	1323	40
970	1324	39
971	1325	38
972	1326	36
973	1327	35
974	1329	34
975	1330	32
976	1331	31
977	1332	29
978	1332	28
979	1333	27
980	1335	25
981	1336	24
982	1337	23
983	1338	21
984	1339	20
985	1340	19
986	1341	17
987	1342	16
988	1343	14
989	1344	13
990	1345	12
991	1346	10
992	1347	9
993	1349	8
994	1350	6
995	1351	5
996	1352	4
997	1353	2
998	1354	1
999	1355	0
